id	delRNA*_in_Cyt	delRNA*_in_RG	delRNA*_difference
Ptpn21	-0.663518841	0.407268179	1.07078702
E130308A19Rik	-0.483295822	0.587285718	1.07058154
Pigm	-0.206734516	0.863445071	1.070179587
Smek1	-0.229812161	0.839543189	1.06935535
Zfp532	-0.026039086	1.041851913	1.067890999
Nupl1	-0.396460071	0.670305449	1.06676552
Btbd7	-0.42905301	0.636893318	1.065946328
Dclre1a	-0.02940122	1.036088736	1.065489956
Pcdhb21	-1.198022231	-0.134035048	1.063987183
Aff1	-0.431288236	0.62922183	1.060510066
Cacul1	-0.195822076	0.864371942	1.060194018
Fam160b1	-0.104389305	0.954860306	1.059249611
Msl1	-0.192981182	0.863523616	1.056504798
Acsl4	-0.649399543	0.406322569	1.055722112
Mfsd9	-0.019394945	1.035814017	1.055208962
Ing5	0.026708189	1.08136302	1.054654831
Med14	-0.796721814	0.257705151	1.054426965
Efcab14	-0.777689478	0.275771458	1.053460936
Herc1	-0.914825983	0.136868108	1.051694091
Aspm	-0.727484406	0.32345915	1.050943556
Tle4	-0.515997215	0.534238005	1.05023522
Gm13363	-0.12752123	0.92233995	1.04986118
Traf3ip1	-0.816234934	0.233493212	1.049728146
C2cd3	-0.733583874	0.315957766	1.04954164
Ankrd40	-0.427299105	0.621239463	1.048538568
Rab28	-0.180214094	0.865108122	1.045322216
Dennd5a	-0.506164624	0.53752468	1.043689304
Ttpal	-0.110894845	0.932707518	1.043602363
Rnf111	-0.506857389	0.533164509	1.040021898
Prkaa1	-0.722029278	0.313569418	1.035598696
Prdm4	-0.210177974	0.824568133	1.034746107
Ep300	-0.678322581	0.354274449	1.03259703
Prmt3	-0.527885632	0.503677169	1.031562801
Fignl1	-0.256752301	0.772803297	1.029555598
Zfp407	-0.451442831	0.576911423	1.028354254
Vmn2r13	-0.623642521	0.404540693	1.028183214
Zbtb5	-0.070749858	0.956748927	1.027498785
Fpgt	0.17778243	1.20398228	1.02619985
Esyt2	-0.577003661	0.448060455	1.025064116
Eif1a	-0.28129339	0.742700921	1.023994311
Lemd3	-0.25185935	0.771913026	1.023772376
BC030336	-0.297299878	0.725093527	1.022393405
Wwp1	-0.385032839	0.636737952	1.021770791
Ubr5	-0.82762655	0.193776436	1.021402986
Dip2c	-0.682422103	0.337990022	1.020412125
4931406P16Rik	-0.69384817	0.323745359	1.017593529
Snn	-1.073848645	-0.056456996	1.017391649
Stxbp5	-0.650131291	0.367196086	1.017327377
Usp7	-0.648572606	0.368144544	1.01671715
Apbb2	-0.692473771	0.323679034	1.016152805
Sdad1	-0.386310265	0.627989992	1.014300257
Dennd4c	-0.684301306	0.329258029	1.013559335
Irak1	-0.329158609	0.684269108	1.013427717
Kif13a	-0.686101376	0.325038416	1.011139792
Chsy1	-0.624044236	0.386179619	1.010223855
3300002I08Rik	0.212800902	1.222746045	1.009945143
Chd8	-0.679976879	0.329087997	1.009064876
Atp7a	-0.999185003	0.009383804	1.008568807
Fryl	-0.906717177	0.101666683	1.00838386
Trpm7	-0.466234798	0.541512572	1.00774737
Macf1	-0.816203659	0.190853099	1.007056758
Chmp1b	-0.719509222	0.287318497	1.006827719
Arid1a	-1.092349138	-0.085812323	1.006536815
Gm12359	-0.198945202	0.805371748	1.00431695
Slc39a10	-0.906200471	0.097264938	1.003465409
Gm5039	-0.397381736	0.604875917	1.002257653
Pbrm1	-0.650210207	0.351372011	1.001582218
Eps8	-0.857338483	0.14271025	1.000048733
Prkacb	-0.754071693	0.245808545	0.999880238
F730043M19Rik	-0.295334096	0.704421252	0.999755348
Uhrf1bp1l	-0.22181915	0.776277711	0.998096861
Suco	-0.226294658	0.770843074	0.997137732
Klhl15	-0.0440949	0.952352049	0.996446949
Cnot1	-0.848237561	0.147559692	0.995797253
Sgpp1	-0.668255495	0.327377559	0.995633054
Dcp1a	-0.386647644	0.608316013	0.994963657
Zbtb11	-0.125284621	0.869210608	0.994495229
Zfp317	-0.178113045	0.816263277	0.994376322
Ttc37	-0.702090773	0.292121794	0.994212567
Abhd17b	-0.30904127	0.684382977	0.993424247
Lrp11	-0.503036953	0.489783974	0.992820927
Ddhd2	-0.585992909	0.406298998	0.992291907
Lin54	-0.235745674	0.75599974	0.991745414
Mfap3	-0.238630552	0.751679481	0.990310033
Srsf10	-0.341719079	0.647705799	0.989424878
Fmn1	-0.251403274	0.736462153	0.987865427
Stard13	0.189524643	1.175509341	0.985984698
Baz1b	-0.828492098	0.156249185	0.984741283
Atad2	-0.564099489	0.420289646	0.984389135
Slc30a9	-0.379838326	0.604057102	0.983895428
Pcnxl4	-0.102181281	0.880438756	0.982620037
Wwc2	-0.650865046	0.331568793	0.982433839
Usp34	-0.591930552	0.389416138	0.98134669
Zfp516	-0.110168383	0.871116195	0.981284578
Pcdhb16	-0.97387823	0.00710383	0.98098206
Zcchc2	-0.014074213	0.965729137	0.97980335
Bmpr1a	-0.530962361	0.447884846	0.978847207
Atp11c	-0.843170015	0.134414288	0.977584303
Naa25	-0.732802596	0.244744263	0.977546859
Rps6ka5	-0.33308108	0.643844184	0.976925264
Ppm1b	-0.459030356	0.517756666	0.976787022
Vkorc1l1	-0.452416865	0.522862219	0.975279084
Irx2	-0.292839068	0.681863839	0.974702907
Fat1	-1.315101648	-0.340594095	0.974507553
Hs2st1	-0.794844549	0.17845461	0.973299159
Cep120	-0.814746492	0.157619348	0.97236584
Yipf6	-0.164628388	0.807713955	0.972342343
Dpy19l4	-0.535877021	0.43591265	0.971789671
Tomm70a	-0.55105329	0.420442239	0.971495529
Gan	-0.646846267	0.323864848	0.970711115
Samd4	-0.266749564	0.703497	0.970246564
Adam9	-0.980271127	-0.01049954	0.969771587
Hiat1	-0.449694628	0.519831389	0.969526017
Pptc7	-0.222179867	0.745948972	0.968128839
Maml1	-0.36087274	0.606077628	0.966950368
Pan3	-0.266301324	0.69846962	0.964770944
Slc25a36	-0.239166782	0.724558085	0.963724867
Hoxaas3	-0.096255752	0.86618349	0.962439242
Ube2q2	-0.658149796	0.30239065	0.960540446
Pds5b	-0.671087185	0.289277085	0.96036427
Vezf1	0.05983597	1.020035011	0.960199041
Ppp1r15a	0.878890044	1.837671551	0.958781507
Ankib1	-0.269582323	0.689131424	0.958713747
Dock5	-0.864977842	0.093390567	0.958368409
Nudt4	-0.517649081	0.439963287	0.957612368
Nus1	-0.021275053	0.934731489	0.956006542
Tnrc6c	-0.714868209	0.237963985	0.952832194
Zfp251	-0.01337616	0.938907539	0.952283699
Clip1	-0.532840601	0.416439183	0.949279784
Dhx33	-0.347200507	0.600130417	0.947330924
Tmem68	-0.017386957	0.929420469	0.946807426
Arhgap19	-0.587023055	0.359637143	0.946660198
Zfp869	0.670852148	1.616882498	0.94603035
Golga3	-0.519410854	0.426289421	0.945700275
Spast	-0.293227419	0.651755783	0.944983202
Bcl2l2	0.003471341	0.948136403	0.944665062
Zfp91Cntf	-0.282124604	0.660598579	0.942723183
Ccdc127	-0.416227254	0.524605415	0.940832669
Spopl	0.030481341	0.969099539	0.938618198
Rbm6	-0.554881172	0.382971214	0.937852386
Usp33	-0.614511285	0.320232112	0.934743397
6030458C11Rik	0.177874751	1.111045374	0.933170623
Hus1	-0.131940168	0.800834489	0.932774657
Atxn7l3b	-0.23143256	0.697333577	0.928766137
Map4k5	-0.499366819	0.429294417	0.928661236
Jag1	0.107165803	1.035592463	0.92842666
Zfp91	-0.283723921	0.640504884	0.924228805
Eif4enif1	-0.439216075	0.484544475	0.92376055
Fbxo28	0.030229205	0.952738597	0.922509392
Ino80	-0.363358305	0.55837166	0.921729965
Gucy2c	-0.500953975	0.419996704	0.920950679
Elk3	-0.36450739	0.553570531	0.918077921
Hs6st1	-0.289880679	0.626294625	0.916175304
Dstyk	-0.50939602	0.406772778	0.916168798
Whsc1	-0.360716608	0.554571653	0.915288261
Son	-0.798034048	0.117117849	0.915151897
Tirap	-0.103241654	0.809922964	0.913164618
Pakap	-0.585142329	0.325061042	0.910203371
Zbtb25	0.044038995	0.953941819	0.909902824
Vps54	-0.34994607	0.558843792	0.908789862
Far1os	-0.285046305	0.619823059	0.904869364
Sprtn	0.406354748	1.310014263	0.903659515
Tusc2	-0.128669829	0.773739211	0.90240904
Msantd4	-0.254660318	0.647584193	0.902244511
Spryd7	-0.196077087	0.705763189	0.901840276
Ssh1	-0.428025965	0.473725471	0.901751436
Rbsn	-0.273464525	0.628220262	0.901684787
Ppm1a	-0.241177341	0.66031825	0.901495591
Bnip2	-0.50055847	0.400925399	0.901483869
Slc9a6	-0.757828308	0.142986064	0.900814372
Lin9	-0.145078924	0.755220914	0.900299838
Klf6	1.545646542	2.44408004	0.898433498
Unkl	-0.329724017	0.568092685	0.897816702
Usp38	-0.049131419	0.846231787	0.895363206
Ftx	0.071636737	0.960301225	0.888664488
N4bp1	-0.572554521	0.313384028	0.885938549
Map1a	-1.06116534	-0.175942913	0.885222427
Kif1b	-0.787691778	0.096875414	0.884567192
Tceb3	-0.408723646	0.474305774	0.88302942
Asb1	0.334792523	1.215830024	0.881037501
1810013L24Rik	0.09933342	0.980370244	0.881036824
Ccny	-0.376096489	0.504083117	0.880179606
Cyb5d1	-0.231181751	0.647776263	0.878958014
Klhl42	-0.475398993	0.403010782	0.878409775
Rab12	-0.383393633	0.491577956	0.874971589
Oxr1	-0.428010302	0.446153787	0.874164089
Tmem170	0.508128917	1.380753685	0.872624768
Svil	-0.909957471	-0.038033736	0.871923735
Tbk1	-0.768398103	0.099775792	0.868173895
Rnf19a	-0.152823585	0.714148544	0.866972129
Pdpk1	-0.291994154	0.574238072	0.866232226
Ate1	-0.442227085	0.422632688	0.864859773
Bace1	-0.538705929	0.324774253	0.863480182
Map3k10	-0.152503835	0.708755468	0.861259303
Otud6b	-0.267263559	0.593173968	0.860437527
Cdc7	0.038476999	0.897673112	0.859196113
Ube2w	-0.501235044	0.356482719	0.857717763
Senp2	-0.368254201	0.486180256	0.854434457
Spsb1	0.039994734	0.893417528	0.853422794
Fbxw11	-0.278424043	0.574197035	0.852621078
Gzf1	0.016532878	0.868657382	0.852124504
Slc33a1	-0.054225223	0.796854293	0.851079516
Pfkfb2	0.028906464	0.875795825	0.846889361
Tmeff1	-0.493570345	0.351726353	0.845296698
Ppp1r2	-0.381573899	0.463571189	0.845145088
Tbpl1	-0.205218637	0.638689522	0.843908159
Selt	-0.240174141	0.603426885	0.843601026
Gosr1	-0.207332058	0.634088162	0.84142022
Lgr4	-0.690919302	0.146655905	0.837575207
Rap1gds1	-0.755954194	0.080685962	0.836640156
Pcnt	-1.083117637	-0.247219464	0.835898173
Slc30a7	-0.144831822	0.690963365	0.835795187
Rcn2	-0.835708254	-0.000995926	0.834712328
Jdp2	0.250000668	1.080813555	0.830812887
Synj2bp	-0.362649568	0.466972863	0.829622431
Uri1	-0.354933111	0.471967494	0.826900605
Asxl1	-0.409061424	0.416836035	0.825897459
Ankrd13a	-0.435125772	0.384785664	0.819911436
Herc2	-1.303023984	-0.488123848	0.814900136
Atf1	-0.577394159	0.236350288	0.813744447
BC005537	-0.263310942	0.541246986	0.804557928
Rttn	-0.513623466	0.290707449	0.804330915
Cipc	0.224045624	1.027136357	0.803090733
Fem1c	-0.141547135	0.660503607	0.802050742
Slc22a23	-0.362907243	0.437814052	0.800721295
Ube3c	-0.655812981	0.143562931	0.799375912
Pogz	-0.471171245	0.31998901	0.791160255
Pde4dip	-0.4991	0.290868325	0.789968325
Dyrk1a	-0.278021411	0.510604825	0.788626236
Pik3cb	-0.173546455	0.614416853	0.787963308
Slc30a5	-0.263114542	0.524746074	0.787860616
Tfdp1	-0.404377743	0.382339796	0.786717539
Tmem184c	-0.454891621	0.331674216	0.786565837
Atf4	1.011997721	1.797915632	0.785917911
Nom1	-0.384254886	0.399169585	0.783424471
Polr2m	-0.239408763	0.541235438	0.780644201
Msh3	-0.437567527	0.340447083	0.77801461
Fam149a	-0.328303403	0.443778148	0.772081551
Tns3	-0.802659682	-0.030649239	0.772010443
Arl2bp	-0.316585658	0.451027526	0.767613184
Mapkapk5	0.078112871	0.844798781	0.76668591
Txndc11	0.5108677	1.268956325	0.758088625
Wdr82	-0.069423929	0.684053416	0.753477345
Kif2a	-0.496892501	0.25608503	0.752977531
Sephs1	-0.56410222	0.187134046	0.751236266
Atf7ip	-0.790620052	-0.039449304	0.751170748
Dcun1d2	-0.388587462	0.360805714	0.749393176
Ccdc47	-0.614879468	0.1339917	0.748871168
Prdm2	-0.333931236	0.413307328	0.747238564
Bag5	-0.043470813	0.701474621	0.744945434
Ppm1h	0.883736859	1.626544216	0.742807357
Uspl1	0.352712352	1.094952019	0.742239667
Trio	-0.507940559	0.229378159	0.737318718
Arel1	-0.208483207	0.523336904	0.731820111
D030056L22Rik	0.301936828	1.024543785	0.722606957
Ube4a	-0.442004381	0.275354978	0.717359359
Usp48	-0.555716395	0.158948357	0.714664752
Habp4	-0.203522726	0.507335388	0.710858114
Wwc1	-0.344663868	0.364613462	0.70927733
Usp54	-0.178207547	0.526237342	0.704444889
Fam20b	-0.476344883	0.226790717	0.7031356
Pknox1	-0.283966529	0.40448608	0.688452609
Coq2	0.067412738	0.755628549	0.688215811
Ralgapa2	-0.359487376	0.328527554	0.68801493
Wbp1l	-0.317288979	0.367736884	0.685025863
Sgms1	0.124054917	0.808469158	0.684414241
Minpp1	-0.380044027	0.304251259	0.684295286
Rap2b	0.205682276	0.884431584	0.678749308
Tagap	0.631638957	1.300373371	0.668734414
Pum1	-0.591851205	0.070558697	0.662409902
Trappc10	-0.340493363	0.320267692	0.660761055
Osbpl11	-0.428122958	0.232097162	0.66022012
Morc2a	-0.418244197	0.240720663	0.65896486
Ogt	-0.586075547	0.072592753	0.6586683
Pdcd6ip	-0.91732852	-0.258697055	0.658631465
Yap1	-0.751545513	-0.097487825	0.654057688
Btg1	0.066479884	0.707900063	0.641420179
Bcl7a	-0.363203081	0.276550579	0.63975366
Tagap1	0.598262331	1.236387991	0.63812566
Tbc1d24	-0.041393983	0.592783899	0.634177882
Gucd1	0.437243626	1.070229373	0.632985747
2610301B20Rik	-0.035595179	0.595068068	0.630663247
Sptlc2	-0.538897363	0.089282909	0.628180272
Kremen1	-0.23609497	0.387218637	0.623313607
Ensa	-0.073371425	0.544059676	0.617431101
Mtmr3	-0.159698499	0.456822134	0.616520633
Mrps25	-0.368973527	0.241187438	0.610160965
Rps6kc1	-0.095619947	0.512955105	0.608575052
Gpbp1l1	-0.271374212	0.334357523	0.605731735
Tgfbrap1	-0.02586279	0.577912326	0.603775116
Exog	0.530698575	1.132549781	0.601851206
Dexi	-0.258482412	0.342540115	0.601022527
Mllt10	-0.210125253	0.38258292	0.592708173
Mon2	-0.398113357	0.191655293	0.58976865
Wdr48	-0.429721958	0.14909179	0.578813748
Setdb1	-0.380778402	0.191864006	0.572642408
Phf12	0.110675853	0.682870158	0.572194305
Thada	-0.452183331	0.117696304	0.569879635
Gnpat	-0.409029366	0.156474468	0.565503834
Fam168b	-0.289176871	0.263343429	0.5525203
Zc3h4	-0.036333445	0.480385778	0.516719223
Ip6k1	0.194122987	0.609983456	0.415860469
Strip1	0.157875102	-0.31155983	-0.469434932
Ddx39b	0.187487497	-0.334382897	-0.521870394
Map4	-0.265194199	-0.811946715	-0.546752516
Kif2c	-0.47506108	-1.027598998	-0.552537918
Tsg101	-0.06918359	-0.640012734	-0.570829144
Ilf3	-0.071357865	-0.646958619	-0.575600754
Rpl5	0.015844235	-0.575883339	-0.591727574
Ap2a2	-0.107512088	-0.702960212	-0.595448124
Cul7	0.291472531	-0.309363705	-0.600836236
Calm1	-0.270843753	-0.873227312	-0.602383559
Rbm10	0.465119794	-0.143466261	-0.608586055
Fbxw8	0.046358385	-0.562848411	-0.609206796
Eif4a1	-0.236974747	-0.846334935	-0.609360188
Glo1	-0.178347369	-0.78936467	-0.611017301
Elp2	-0.275872349	-0.893472023	-0.617599674
Nploc4	0.178690089	-0.443561743	-0.622251832
Cmtr1	0.268627955	-0.358161826	-0.626789781
Acad8	0.316266404	-0.311333913	-0.627600317
Nsdhl	-0.323927592	-0.958190852	-0.63426326
Ccdc167	0.292124708	-0.345048731	-0.637173439
Galnt1	-0.075526244	-0.714999097	-0.639472853
Ube2n	-0.256430139	-0.896136329	-0.63970619
Caml	0.752879561	0.111395677	-0.641483884
Cep131	0.703264937	0.060943038	-0.642321899
Ilk	-0.215926896	-0.858574406	-0.64264751
Slc25a3	0.011393317	-0.631792589	-0.643185906
Gm12504	-0.310438846	-0.96445087	-0.654012024
Rab1b	-0.31211023	-0.96908831	-0.65697808
Rbmxl1	-0.201195859	-0.866916276	-0.665720417
Comt	0.073283526	-0.593530212	-0.666813738
Top3b	0.702333734	0.034574407	-0.667759327
Micu1	-0.224560081	-0.893646827	-0.669086746
Nup85	0.13631044	-0.536170726	-0.672481166
Ptma	-0.303024041	-0.977520726	-0.674496685
Enoph1	0.14340245	-0.532355718	-0.675758168
Tppp	-0.196654646	-0.872931849	-0.676277203
Aspscr1	0.221568837	-0.45580769	-0.677376527
Hacd3	-0.22542912	-0.904096472	-0.678667352
Sptlc1	0.11092439	-0.569154356	-0.680078746
Pole2	0.10658962	-0.574187325	-0.680776945
Xrcc1	0.112838121	-0.571364008	-0.684202129
Vps53	-0.057045519	-0.747824145	-0.690778626
Vps51	0.449000395	-0.241793546	-0.690793941
Ubap2l	-0.516130421	-1.208833112	-0.692702691
Ndufs2	0.033825975	-0.659017987	-0.692843962
Lss	0.872065307	0.17826443	-0.693800877
Psme3	-0.008704234	-0.703642723	-0.694938489
Gnaq	-0.165821205	-0.860789212	-0.694968007
Mrps35	0.215830319	-0.479960338	-0.695790657
Lztr1	0.039547443	-0.660850405	-0.700397848
Slc31a1	-0.05288052	-0.753622064	-0.700741544
Hnrnpab	-0.222113881	-0.924714689	-0.702600808
Gps1	0.00738197	-0.697827209	-0.705209179
4930483K19Rik	0.925695777	0.217098344	-0.708597433
Sirt7	1.00814379	0.29670411	-0.71143968
Aip	-0.119908146	-0.831482445	-0.711574299
Ddx24	0.167237578	-0.544715881	-0.711953459
Fzd2	0.15549552	-0.557419477	-0.712914997
Nap1l4	-0.089074141	-0.802424502	-0.713350361
Tbcd	0.084194006	-0.630484933	-0.714678939
Snrpc	-0.085847271	-0.801425684	-0.715578413
Exosc8	0.158980251	-0.55788481	-0.716865061
Tmed10	-0.274303392	-0.993940662	-0.71963727
Napa	0.024291257	-0.698922714	-0.723213971
Gak	0.411576796	-0.313150917	-0.724727713
9030624J02Rik	-0.015411169	-0.741287365	-0.725876196
Park7	-0.119834153	-0.846022109	-0.726187956
Wash1	0.377029622	-0.352449378	-0.729479
Creb3	0.237711492	-0.492081902	-0.729793394
Ash2l	0.012002388	-0.717988098	-0.729990486
Tada1	0.280488838	-0.449502358	-0.729991196
Ehd1	0.171100977	-0.560934606	-0.732035583
Mbd5	-0.118157031	-0.853572506	-0.735415475
B230209E15Rik	-0.259168685	-0.994593405	-0.73542472
Aamp	0.085964443	-0.649698169	-0.735662612
Tcp1	-0.320353499	-1.056994869	-0.73664137
Hars	-0.135868266	-0.876282346	-0.74041408
Dhodh	0.510171067	-0.231293604	-0.741464671
Ttc27	-0.161698687	-0.903856414	-0.742157727
1110004F10Rik	0.200252042	-0.544822713	-0.745074755
Wdr61	0.032216399	-0.713565793	-0.745782192
Ndufs3	0.05931536	-0.687407272	-0.746722632
Coasy	0.526360828	-0.220494417	-0.746855245
Dalrd3	0.140031321	-0.608030359	-0.74806168
Ipo4	0.030858571	-0.717373524	-0.748232095
Rbbp5	0.48998012	-0.259994471	-0.749974591
Kif20a	-0.344683416	-1.096186722	-0.751503306
Vps26b	0.20052834	-0.551803932	-0.752332272
Chchd2	-0.247793958	-1.000879317	-0.753085359
Naa35	-0.002204335	-0.755892107	-0.753687772
Hhla1	-0.03816191	-0.792158242	-0.753996332
Yipf2	0.009751786	-0.747656147	-0.757407933
Ighmbp2	1.208323266	0.449717782	-0.758605484
Prkrip1	0.710073629	-0.050270864	-0.760344493
Prkcd	0.097025544	-0.664913148	-0.761938692
Psmd3	0.202125989	-0.561661089	-0.763787078
Got1	0.152449143	-0.611450579	-0.763899722
Cnbp	0.222061843	-0.547276756	-0.769338599
Cr1l	-0.218296606	-0.99025764	-0.771961034
Zfp622	0.858189235	0.084443317	-0.773745918
Actr10	0.094523246	-0.679674396	-0.774197642
0610009O20Rik	0.558337951	-0.216270887	-0.774608838
Ndufs7	-0.116349801	-0.892410095	-0.776060294
Dnm2	0.107611901	-0.668630282	-0.776242183
Spc24	0.044713957	-0.732244121	-0.776958078
Chchd3	0.025685126	-0.751858455	-0.777543581
Ewsr1	-0.100324301	-0.8778935	-0.777569199
Hgsnat	-0.030708092	-0.809208483	-0.778500391
Gars	-0.043927807	-0.824012131	-0.780084324
Ran	-0.142416658	-0.922655669	-0.780239011
Kat5	0.720884264	-0.059756235	-0.780640499
Rrp8	0.688599933	-0.092158717	-0.78075865
Dpp3	-0.036981566	-0.819862023	-0.782880457
Grpel1	0.070665416	-0.713976768	-0.784642184
Trim28	0.172072441	-0.613153921	-0.785226362
Plce1	-0.124556118	-0.91326725	-0.788711132
Snrpd1	-0.281840202	-1.071586002	-0.7897458
Mrpl4	0.025713419	-0.764405271	-0.79011869
Acad9	-0.182456812	-0.972917887	-0.790461075
Psmb1	-0.048125915	-0.840985386	-0.792859471
Tuba4a	-0.16292072	-0.956379031	-0.793458311
Lyrm4	-0.095760655	-0.889826859	-0.794066204
Zbed5	-0.212069956	-1.007053901	-0.794983945
Adrm1	0.401944238	-0.394923409	-0.796867647
Otub1	-0.125003188	-0.922312883	-0.797309695
Eef2	0.106888665	-0.692151526	-0.799040191
Slc16a2	-0.241121579	-1.042931133	-0.801809554
Naca	-0.143139009	-0.946693885	-0.803554876
Apip	-0.035090102	-0.84170981	-0.806619708
Pou2f3	-0.020625158	-0.829413474	-0.808788316
Mrpl13	0.023467684	-0.78533875	-0.808806434
Loxl3	0.156068836	-0.655484219	-0.811553055
Mms19	0.553663376	-0.258361088	-0.812024464
Ybx1	-0.260715014	-1.073156721	-0.812441707
Endog	0.51563846	-0.296864952	-0.812503412
Thyn1	-0.060505383	-0.87420524	-0.813699857
Ndufv2	0.093609993	-0.721986319	-0.815596312
Srsf2	0.147504994	-0.668322267	-0.815827261
Cdc25c	0.299039721	-0.519788375	-0.818828096
Psmb3	-0.210467036	-1.029675056	-0.81920802
Wdr12	0.057785351	-0.763067284	-0.820852635
4930552N02Rik	-0.137518805	-0.961614344	-0.824095539
Cbfa2t3	-0.212147335	-1.037765788	-0.825618453
Gmpr2	0.21977167	-0.606528823	-0.826300493
Tpi1	-0.290670961	-1.118458011	-0.82778705
Psmd7	-0.03646891	-0.865999054	-0.829530144
Arid1b	-0.195901325	-1.026281382	-0.830380057
Tmem43	-0.013906376	-0.844984321	-0.831077945
Pcbp2	-0.121069204	-0.953116769	-0.832047565
9330179D12Rik	-0.331818548	-1.165368324	-0.833549776
Dnpep	0.057645061	-0.77657842	-0.834223481
P4ha1	-0.209189597	-1.043523177	-0.83433358
Gclm	-0.180771416	-1.016903328	-0.836131912
Gm10052	-0.280213267	-1.118758482	-0.838545215
Lrp1b	-0.110985465	-0.949622539	-0.838637074
Wdr6	0.038253281	-0.802748862	-0.841002143
Adck4	0.821466469	-0.019855459	-0.841321928
Blvrb	-0.111360141	-0.952893946	-0.841533805
Wdr46	0.073758509	-0.768111164	-0.841869673
Prkaca	-0.275874411	-1.118136349	-0.842261938
Ndufa9	-0.179827963	-1.024058207	-0.844230244
Ap2m1	-0.109270776	-0.954764696	-0.84549392
Slc39a7	0.450988116	-0.394928454	-0.84591657
Hdac10	0.897652905	0.050270636	-0.847382269
Akr7a5	0.081748328	-0.766700641	-0.848448969
Arl2	-0.026076866	-0.875736164	-0.849659298
Tssc1	0.385208291	-0.464775264	-0.849983555
Gm5643	-0.292934085	-1.145145998	-0.852211913
Acadvl	0.021667256	-0.830546602	-0.852213858
Ccdc130	1.438964365	0.586680602	-0.852283763
Hnrnpa1	-0.292738104	-1.145305156	-0.852567052
Ech1	-0.335390045	-1.188578754	-0.853188709
Prkag1	0.471904488	-0.381565603	-0.853470091
Aco1	0.069850579	-0.783678691	-0.85352927
U2af1	0.140209655	-0.713523343	-0.853732998
Mrpl3	0.196885564	-0.657239241	-0.854124805
Psat1	-0.285788047	-1.140654908	-0.854866861
Rpusd1	0.418393386	-0.440126829	-0.858520215
Cttn	-0.091309544	-0.949866697	-0.858557153
Rbm22	0.212017797	-0.647532154	-0.859549951
Eef1e1	0.303941663	-0.556033515	-0.859975178
Pla2g4e	-0.10635942	-0.968409759	-0.862050339
Haus5	0.29975526	-0.562729839	-0.862485099
Hdhd3	0.676760962	-0.185845745	-0.862606707
Srp68	0.0804082	-0.785745523	-0.866153723
Sf1	0.294841796	-0.572664223	-0.867506019
Cuedc2	-0.021525795	-0.889158551	-0.867632756
Bcs1l	0.417061164	-0.450690096	-0.86775126
Carm1	-0.01515197	-0.884324111	-0.869172141
Snx1	0.098066251	-0.77236113	-0.870427381
Snrpd3	-0.287125235	-1.160506711	-0.873381476
Mrpl48	-0.086009135	-0.960251312	-0.874242177
Arpc3	-0.429799681	-1.304698872	-0.874899191
Isyna1	0.138725485	-0.736348256	-0.875073741
Atp6v0c	-0.271841332	-1.147082918	-0.875241586
Atp6v0c-ps2	-0.271841332	-1.147082918	-0.875241586
Ppox	0.527068763	-0.348945773	-0.876014536
Atf6b	0.27696325	-0.601212534	-0.878175784
Pdcd2	0.681879677	-0.196720977	-0.878600654
Dxo	1.00738518	0.126506238	-0.880878942
Ptges3	-0.157723707	-1.038663651	-0.880939944
Ptprd	0.015811196	-0.866508016	-0.882319212
Haus1	0.015184688	-0.868900279	-0.884084967
Prdx1	-0.437960962	-1.322246067	-0.884285105
Gmppb	1.098854983	0.214246267	-0.884608716
Slc25a12	-0.147340332	-1.033414654	-0.886074322
Aldh16a1	0.222270183	-0.665054692	-0.887324875
Copa	-0.069903387	-0.958800235	-0.888896848
Eps15l1	0.115434375	-0.773504084	-0.888938459
Arf1	0.034649652	-0.855729986	-0.890379638
Psmb4	-0.042035132	-0.933104163	-0.891069031
Slc30a6	0.376193456	-0.516172731	-0.892366187
Rnf121	0.568030878	-0.325480585	-0.893511463
Ftsj1	-0.314230633	-1.210243392	-0.896012759
Ppt1	-0.212648444	-1.109633477	-0.896985033
Ube2e1	0.061973581	-0.836413953	-0.898387534
Gm10785	0.032121497	-0.867308027	-0.899429524
Psmb2	-0.158707724	-1.058497009	-0.899789285
Dmap1	0.490356657	-0.409445104	-0.899801761
Eral1	0.666310231	-0.234601119	-0.90091135
Hadh	-0.296184686	-1.197277432	-0.901092746
Hnrnpc	0.01980266	-0.882133236	-0.901935896
Cby1	0.181565073	-0.721149282	-0.902714355
Trpc4ap	0.040634113	-0.862981092	-0.903615205
Plscr3	0.009335727	-0.895277984	-0.904613711
Mrc2	0.55353614	-0.351694739	-0.905230879
Gm7977	-0.201226852	-1.106674496	-0.905447644
Mrps30	0.441647616	-0.465334949	-0.906982565
Cacna2d3	-0.14626189	-1.056134124	-0.909872234
Thbs3	0.448403276	-0.461664424	-0.9100677
Rtcb	0.077754439	-0.833046209	-0.910800648
Slc25a4	-0.108997934	-1.020472397	-0.911474463
Btf3	-0.139411821	-1.051322263	-0.911910442
Actr1a	0.051417384	-0.860524127	-0.911941511
Dpysl2	-0.286581334	-1.199337122	-0.912755788
Smn1	0.059706735	-0.853089968	-0.912796703
Gnai2	-0.022050401	-0.935247616	-0.913197215
Gm5803	-0.208328195	-1.122574672	-0.914246477
Ppia	-0.153415395	-1.068858266	-0.915442871
Alyref	-0.027988348	-0.945666083	-0.917677735
Rgs22	-0.139450938	-1.057924512	-0.918473574
