id	delRNA*_in_Cyt	delRNA*_in_RG	delRNA*_difference
Alg10b	-0.76438509	0.827690661	1.592075751
Prrg1	-0.750433392	0.841096231	1.591529623
Elmod2	-0.18545674	1.397911707	1.583368447
Tcf20	-0.523554193	1.058357221	1.581911414
Hipk3	-0.657596192	0.923279159	1.580875351
Smg1	-0.855066442	0.724409486	1.579475928
Tmem168	-0.679243162	0.895575167	1.574818329
Tlr4	-0.243793356	1.329618217	1.573411573
Tmed7	-0.725148795	0.84587702	1.571025815
Tgfbr1	-0.618223273	0.950760663	1.568983936
Slc26a2	-0.441389785	1.121874149	1.563263934
Trim59	-0.565113057	0.997715695	1.562828752
Dse	-0.719861893	0.842698635	1.562560528
1700020I14Rik	-0.356845791	1.200950217	1.557796008
Creb1	-0.417997161	1.138494475	1.556491636
Fbxo33	-0.221020015	1.335075802	1.556095817
Zbed6	-1.159271876	0.39285629	1.552128166
Elk4	-0.72278542	0.82914763	1.55193305
Atp13a3	-0.671643288	0.880262196	1.551905484
Ccdc186	-0.242015574	1.309092537	1.551108111
Slc35a3	-0.398313308	1.152606671	1.550919979
B230354K17Rik	-0.643105372	0.906304029	1.549409401
Pum2	-0.763077758	0.78559694	1.548674698
Bmpr2	-0.923809125	0.621986741	1.545795866
Brd1	-0.744465301	0.800157131	1.544622432
Topbp1	-0.77613857	0.759797323	1.535935893
Zfp568	0.487087453	2.022605522	1.535518069
Dbf4	-0.592970324	0.942332546	1.53530287
Hace1	-0.643505571	0.891559129	1.5350647
Megf9	-0.841433914	0.68939167	1.530825584
Rapgef2	-0.719799996	0.810618286	1.530418282
Plag1	-0.509407262	1.015308152	1.524715414
Frs2	-0.597964638	0.92456812	1.522532758
Pik3ca	-0.867206624	0.654274636	1.52148126
Slk	-0.902985311	0.617224148	1.520209459
Klhl5	-0.747358929	0.772017769	1.519376698
Prr14l	-0.724359893	0.794064453	1.518424346
Ipmk	-0.515166033	1.000559129	1.515725162
C1galt1	-0.538621201	0.976655831	1.515277032
Mob1a	-0.864901352	0.648682855	1.513584207
Cpne4	-0.848767286	0.663947199	1.512714485
Phf20l1	-0.230278548	1.281673401	1.511951949
Tmed8	-0.46414836	1.046396851	1.510545211
Dyrk2	-0.510488139	0.999495995	1.509984134
Zfp292	-0.399001042	1.107061723	1.506062765
Ric1	-0.545204181	0.955960638	1.501164819
Snx25	-0.715739379	0.785094465	1.500833844
Adnp	-0.630299077	0.868222141	1.498521218
Pikfyve	-0.60223983	0.892490439	1.494730269
Usp1	-0.540060688	0.954363234	1.494423922
Iws1	-0.51561157	0.978012409	1.493623979
AI597479	-0.304534465	1.188455878	1.492990343
Jak2	-0.633079657	0.859682989	1.492762646
Cdk19	-0.748153797	0.743321148	1.491474945
Mef2a	-0.685531416	0.799877494	1.48540891
Man1a2	-0.872420007	0.608061864	1.480481871
Etnk1	-0.698758373	0.781621173	1.480379546
Dicer1	-0.889699307	0.59049219	1.480191497
Ttbk2	-0.334669665	1.14488896	1.479558625
Zfp217	-0.364358563	1.113725941	1.478084504
Fv1	-1.282915205	0.195142799	1.478058004
Zfp445	-0.614777316	0.862480374	1.47725769
Arhgef12	-0.918572972	0.557763634	1.476336606
Zfp451	-0.601245388	0.874646034	1.475891422
Dcun1d3	0.182431607	1.654256998	1.471825391
Rictor	-0.483329964	0.976989848	1.460319812
Cggbp1	-0.427676846	1.03120757	1.458884416
Smim10l1	-0.610872111	0.847886304	1.458758415
Npat	-0.480535021	0.977943896	1.458478917
Usp45	-0.60977892	0.847527842	1.457306762
Ap1ar	-0.455914211	1.00134101	1.457255221
Zfp106	-1.028042264	0.428889982	1.456932246
Sgcz	-0.29672868	1.159248362	1.455977042
2410089E03Rik	-0.917000282	0.537834802	1.454835084
Rock2	-0.524083881	0.923973979	1.44805786
Usp12	-0.541943143	0.90164901	1.443592153
Gas2l3	-0.535782508	0.906872107	1.442654615
Usp6nl	-0.516100732	0.92565529	1.441756022
Polq	-0.133568709	1.304994963	1.438563672
Klhl9	-0.794464352	0.641306034	1.435770386
Fktn	-0.339219491	1.090985858	1.430205349
Trip11	-0.597958665	0.831981627	1.429940292
Pogk	-0.372867083	1.056972636	1.429839719
Atad5	0.025850345	1.455680949	1.429830604
Tlk1	-0.617767576	0.811576931	1.429344507
Mtmr12	-0.643082304	0.785566171	1.428648475
Zfp266	-0.619009481	0.807730609	1.42674009
Zzz3	-0.384957194	1.040389958	1.425347152
Jade1	-0.379295946	1.044828595	1.424124541
Mtf2	-0.161168024	1.26261506	1.423783084
B3gnt2	-0.263432381	1.159842255	1.423274636
Bdp1	-0.213991752	1.208884756	1.422876508
Mbnl1	-0.730028161	0.690393238	1.420421399
Ahctf1	-0.814693945	0.60382708	1.418521025
Zbtb1	-0.644575767	0.771209468	1.415785235
Rab33b	-0.019812923	1.395177736	1.414990659
Stil	-0.118203443	1.294642508	1.412845951
Zfp644	-0.342400789	1.070357539	1.412758328
Akap10	-0.132827835	1.279828691	1.412656526
Cep170	-0.867126354	0.545252197	1.412378551
Fam13b	-0.188243655	1.222698019	1.410941674
Ino80d	-0.296216922	1.114362784	1.410579706
Apc	-0.86403724	0.54576125	1.40979849
Sowahc	-0.322988735	1.086665242	1.409653977
Fbxo45	-0.445214437	0.96363019	1.408844627
Rlim	-0.76431243	0.643811807	1.408124237
Pcdh19	-1.225630705	0.180595912	1.406226617
Dpp8	-0.737121663	0.669041343	1.406163006
Lin7c	-0.142446407	1.26303496	1.405481367
Chuk	-0.342787069	1.062143873	1.404930942
Cdkn2aip	0.257442166	1.660720052	1.403277886
Zfp704	-0.960866221	0.442022055	1.402888276
Zfp367	-0.147339474	1.255494716	1.40283419
6530403H02Rik	-0.585031076	0.816910265	1.401941341
Shprh	-0.484737615	0.916988264	1.401725879
4932438A13Rik	-0.941205369	0.456184899	1.397390268
Chd1	-0.716337111	0.68042229	1.396759401
Rnf103	-0.660948833	0.735479022	1.396427855
Cep192	-0.866694165	0.523193556	1.389887721
Sbno1	-0.866013773	0.523321408	1.389335181
Ice1	-0.958547028	0.430190109	1.388737137
Stard4	0.055889687	1.444188676	1.388298989
Mga	-0.456186881	0.931529645	1.387716526
Gid8	-0.574906493	0.812283182	1.387189675
Ccp110	-0.7985291	0.587668843	1.386197943
Nbeal1	-0.486574238	0.899415464	1.385989702
Cep152	-0.399103395	0.984690886	1.383794281
Abi2	-0.716114667	0.667623149	1.383737816
Tmem30a	-0.838319316	0.543264829	1.381584145
Klf9	-0.288776078	1.086139269	1.374915347
Tbc1d12	-0.394349925	0.979272851	1.373622776
Mdm4	-0.068494689	1.303548569	1.372043258
Chd6	-0.519457126	0.852240695	1.371697821
Atp11b	-0.695696323	0.672261928	1.367958251
Zfp866	-0.053944001	1.310737083	1.364681084
Rhou	-0.559914073	0.803927473	1.363841546
Rcor3	-0.282208186	1.081151931	1.363360117
Rnf11	-0.43223122	0.928738582	1.360969802
Crebrf	-0.28315466	1.075468875	1.358623535
0610010F05Rik	-0.423832507	0.934051873	1.35788438
Ikzf5	-0.340864618	1.016690038	1.357554656
Pcnx	-0.542589094	0.814820826	1.35740992
Hmgxb4	-0.305452248	1.050722354	1.356174602
Enpp4	-0.410393692	0.945078122	1.355471814
Cpeb4	-0.399187114	0.955845087	1.355032201
Crk	-0.442639474	0.911972911	1.354612385
Pds5a	-0.769847439	0.583616506	1.353463945
Zfp652	-0.581753337	0.771518427	1.353271764
Rhoq	-0.618007078	0.734883452	1.35289053
Tmem87b	-0.535464833	0.816186821	1.351651654
Phip	-0.498657749	0.852934689	1.351592438
Hectd1	-1.125537547	0.2259041	1.351441647
Atxn7	-0.192557025	1.158814743	1.351371768
Edem1	-0.354126866	0.996981549	1.351108415
Phlpp2	-0.6511364	0.698575106	1.349711506
Traf6	-0.105494872	1.244107697	1.349602569
Atmin	-0.436760824	0.912797201	1.349558025
Paqr3	-0.651134881	0.696347385	1.347482266
Aggf1	-0.590911758	0.756407657	1.347319415
Apaf1	-0.78988839	0.556706744	1.346595134
Ssx2ip	-0.53116385	0.814155808	1.345319658
Prkci	-0.829604996	0.515559168	1.345164164
Morc3	-0.391970354	0.952047264	1.344017618
Kdm5a	-0.369600009	0.974242428	1.343842437
Zmym2	-0.623952408	0.719414556	1.343366964
Stx12	-0.682194041	0.661153137	1.343347178
Zik1	-0.178458293	1.164576288	1.343034581
Zbtb14	-0.254665689	1.08709782	1.341763509
Lpgat1	-0.805912916	0.532440767	1.338353683
Gm3086	-0.568724477	0.764902812	1.333627289
Mysm1	0.09122741	1.424851729	1.333624319
Ctdspl2	-0.244062965	1.089533417	1.333596382
Arl5a	-0.485992541	0.846188814	1.332181355
Lcor	-0.029238652	1.302203348	1.331442
Papd5	-0.700073153	0.630148836	1.330221989
Smad5	-0.720937153	0.608927363	1.329864516
Usp42	-0.219812588	1.109602022	1.32941461
Ulk2	-0.643800157	0.685382466	1.329182623
Phf3	-0.767936469	0.560726565	1.328663034
Zdhhc17	-0.19209923	1.135740626	1.327839856
Tmx3	-0.631704644	0.696050619	1.327755263
Rc3h1	-0.729461893	0.597738417	1.32720031
Abca5	-0.892970289	0.432461797	1.325432086
Akap9	-0.937407453	0.386915659	1.324323112
4632415L05Rik	0.876337819	2.196695168	1.320357349
Fzd6	-0.144064635	1.17427123	1.318335865
Lysmd3	0.237075174	1.554172204	1.31709703
Phc3	-0.334071069	0.980219217	1.314290286
Naa30	-0.394730365	0.916499395	1.31122976
Ranbp2	-0.825050813	0.485783299	1.310834112
Elac1	-0.350002132	0.958099636	1.308101768
Homer1	-0.050173739	1.255893535	1.306067274
Luzp1	-0.692844153	0.608298704	1.301142857
Ifit2	-0.406944375	0.892539242	1.299483617
Med13	-0.433734152	0.865379789	1.299113941
Prkrir	-0.391500186	0.907088513	1.298588699
Rfx7	-0.358526263	0.938672829	1.297199092
Cdc42bpa	-0.706637594	0.590455411	1.297093005
Etv3	-0.200562535	1.096282942	1.296845477
Mtmr10	0.024121406	1.318084848	1.293963442
Smc2	-0.862227253	0.431639846	1.293867099
Zkscan1	-0.46240296	0.829996904	1.292399864
Lrp12	-0.833081117	0.459191159	1.292272276
Gnptab	-0.712727072	0.578906345	1.291633417
Ubn1	-0.683800079	0.607769647	1.291569726
