gene_name,Ensembl gene name
gene_biotype,Ensembl gene biotype
markers,Localisation marker. ‘unknown’ = not a marker
Cytosol,Proportion in cytosol. ‘NA’ = Not defined
sd_Cytosol,Standard deviation for proportion in cytosol. ‘NA’ = Not defined
Membrane,Proportion in membrane. ‘NA’ = Not defined
sd_Membrane,Standard deviation for proportion in membrane. ‘NA’ = Not defined
Mitochondrion,Proportion in mitochondrion. ‘NA’ = Not defined
sd_Mitochondrion,Standard deviation for proportion in mitochondrion. ‘NA’ = Not defined
